2026-04-09 16:40:53 | INFO     | main | === Premier League ETL Pipeline started ===
2026-04-09 16:40:53 | INFO     | main | --- Source: API-Sports ---
2026-04-09 16:40:53 | INFO     | main | --- Source: API-Football ---
2026-04-09 16:40:53 | INFO     | main | === ETL Pipeline complete ===
2026-04-09 17:15:41 | INFO     | extractor.api_sports | Fetching standings: league=39, season=2023
2026-04-09 17:15:41 | DEBUG    | extractor.api_sports | GET https://v3.football.api-sports.io/standings params={'league': 39, 'season': 2023} (attempt 1)
2026-04-09 17:15:42 | INFO     | extractor.api_sports | Fetching teams: league=39, season=2023
2026-04-09 17:15:42 | DEBUG    | extractor.api_sports | GET https://v3.football.api-sports.io/teams params={'league': 39, 'season': 2023} (attempt 1)
2026-04-09 17:15:42 | INFO     | extractor.api_sports | API-Sports: fetched 20 standings, 20 teams
2026-04-09 17:15:42 | INFO     | extractor.api_football | Fetching standings: league_id=152
2026-04-09 17:15:42 | DEBUG    | extractor.api_football | GET https://apiv3.apifootball.com/ params={'action': 'get_standings', 'league_id': 152, 'APIkey': 'dca75ce66afc50267304596d8411fe1fddf3186a379701f06a08fa0587f722af'} (attempt 1)
2026-04-09 17:15:43 | INFO     | extractor.api_football | Received 20 standing records
2026-04-09 17:15:43 | INFO     | extractor.api_football | Fetching teams: league_id=152
2026-04-09 17:15:43 | DEBUG    | extractor.api_football | GET https://apiv3.apifootball.com/ params={'action': 'get_teams', 'league_id': 152, 'APIkey': 'dca75ce66afc50267304596d8411fe1fddf3186a379701f06a08fa0587f722af'} (attempt 1)
2026-04-09 17:15:43 | INFO     | extractor.api_football | Received 20 team records
2026-04-09 17:15:43 | INFO     | extractor.api_football | API-Football: fetched 20 standings, 20 teams
2026-04-09 17:21:25 | INFO     | main | === Premier League ETL Pipeline started ===
2026-04-09 17:21:25 | INFO     | main | --- Source: API-Sports ---
2026-04-09 17:21:25 | INFO     | extractor.api_sports | Fetching standings: league=39, season=2023
2026-04-09 17:21:25 | DEBUG    | extractor.api_sports | GET https://v3.football.api-sports.io/standings params={'league': 39, 'season': 2023} (attempt 1)
2026-04-09 17:21:25 | INFO     | extractor.api_sports | Fetching teams: league=39, season=2023
2026-04-09 17:21:25 | DEBUG    | extractor.api_sports | GET https://v3.football.api-sports.io/teams params={'league': 39, 'season': 2023} (attempt 1)
2026-04-09 17:21:26 | INFO     | extractor.api_sports | API-Sports: fetched 20 standings, 20 teams
2026-04-09 17:21:26 | INFO     | main | --- Source: API-Football ---
2026-04-09 17:21:26 | INFO     | extractor.api_football | Fetching standings: league_id=152
2026-04-09 17:21:26 | DEBUG    | extractor.api_football | GET https://apiv3.apifootball.com/ params={'action': 'get_standings', 'league_id': 152, 'APIkey': 'dca75ce66afc50267304596d8411fe1fddf3186a379701f06a08fa0587f722af'} (attempt 1)
2026-04-09 17:21:26 | INFO     | extractor.api_football | Received 20 standing records
2026-04-09 17:21:26 | INFO     | extractor.api_football | Fetching teams: league_id=152
2026-04-09 17:21:26 | DEBUG    | extractor.api_football | GET https://apiv3.apifootball.com/ params={'action': 'get_teams', 'league_id': 152, 'APIkey': 'dca75ce66afc50267304596d8411fe1fddf3186a379701f06a08fa0587f722af'} (attempt 1)
2026-04-09 17:21:27 | INFO     | extractor.api_football | Received 20 team records
2026-04-09 17:21:27 | INFO     | extractor.api_football | API-Football: fetched 20 standings, 20 teams
2026-04-09 17:21:27 | INFO     | main | === ETL Pipeline complete ===
2026-04-09 17:36:26 | INFO     | extractor.api_sports | Fetching standings: league=39, season=2023
2026-04-09 17:36:26 | DEBUG    | extractor.api_sports | GET https://v3.football.api-sports.io/standings params={'league': 39, 'season': 2023} (attempt 1)
2026-04-09 17:36:27 | INFO     | extractor.api_sports | Fetching teams: league=39, season=2023
2026-04-09 17:36:27 | DEBUG    | extractor.api_sports | GET https://v3.football.api-sports.io/teams params={'league': 39, 'season': 2023} (attempt 1)
2026-04-09 17:36:27 | INFO     | extractor.api_sports | API-Sports: fetched 20 standings, 20 teams
2026-04-09 17:36:27 | INFO     | transformer.api_sports | API-Sports transformer: 20/20 records transformed successfully
2026-04-09 17:36:27 | INFO     | extractor.api_football | Fetching standings: league_id=152
2026-04-09 17:36:27 | DEBUG    | extractor.api_football | GET https://apiv3.apifootball.com/ params={'action': 'get_standings', 'league_id': 152, 'APIkey': 'dca75ce66afc50267304596d8411fe1fddf3186a379701f06a08fa0587f722af'} (attempt 1)
2026-04-09 17:36:28 | INFO     | extractor.api_football | Received 20 standing records
2026-04-09 17:36:28 | INFO     | extractor.api_football | Fetching teams: league_id=152
2026-04-09 17:36:28 | DEBUG    | extractor.api_football | GET https://apiv3.apifootball.com/ params={'action': 'get_teams', 'league_id': 152, 'APIkey': 'dca75ce66afc50267304596d8411fe1fddf3186a379701f06a08fa0587f722af'} (attempt 1)
2026-04-09 17:36:29 | INFO     | extractor.api_football | Received 20 team records
2026-04-09 17:36:29 | INFO     | extractor.api_football | API-Football: fetched 20 standings, 20 teams
2026-04-09 17:36:29 | WARNING  | transformer.api_football | Could not convert 'founded_year' value '' to int
2026-04-09 17:36:29 | WARNING  | transformer.api_football | Team 'Nottingham' has None values for: ['founded_year']
2026-04-09 17:36:29 | INFO     | transformer.api_football | API-Football transformer: 20/20 records transformed successfully
2026-04-09 17:37:26 | INFO     | extractor.api_sports | Fetching standings: league=39, season=2023
2026-04-09 17:37:26 | DEBUG    | extractor.api_sports | GET https://v3.football.api-sports.io/standings params={'league': 39, 'season': 2023} (attempt 1)
2026-04-09 17:37:27 | INFO     | extractor.api_sports | Fetching teams: league=39, season=2023
2026-04-09 17:37:27 | DEBUG    | extractor.api_sports | GET https://v3.football.api-sports.io/teams params={'league': 39, 'season': 2023} (attempt 1)
2026-04-09 17:37:27 | INFO     | extractor.api_sports | API-Sports: fetched 20 standings, 20 teams
2026-04-09 17:37:27 | INFO     | transformer.api_sports | API-Sports transformer: 20/20 records transformed successfully
2026-04-09 17:37:27 | INFO     | loader.sqlite | Loaded 20 records into 'standings_api_sports'
2026-04-09 17:37:27 | INFO     | loader.sqlite | Exported 20 rows to 'C:\Users\magshimim\premier-league-etl\src\..\output\standings_api_sports.csv'
2026-04-09 17:37:27 | INFO     | extractor.api_football | Fetching standings: league_id=152
2026-04-09 17:37:27 | DEBUG    | extractor.api_football | GET https://apiv3.apifootball.com/ params={'action': 'get_standings', 'league_id': 152, 'APIkey': 'dca75ce66afc50267304596d8411fe1fddf3186a379701f06a08fa0587f722af'} (attempt 1)
2026-04-09 17:37:28 | INFO     | extractor.api_football | Received 20 standing records
2026-04-09 17:37:28 | INFO     | extractor.api_football | Fetching teams: league_id=152
2026-04-09 17:37:28 | DEBUG    | extractor.api_football | GET https://apiv3.apifootball.com/ params={'action': 'get_teams', 'league_id': 152, 'APIkey': 'dca75ce66afc50267304596d8411fe1fddf3186a379701f06a08fa0587f722af'} (attempt 1)
2026-04-09 17:37:29 | INFO     | extractor.api_football | Received 20 team records
2026-04-09 17:37:29 | INFO     | extractor.api_football | API-Football: fetched 20 standings, 20 teams
2026-04-09 17:37:29 | WARNING  | transformer.api_football | Could not convert 'founded_year' value '' to int
2026-04-09 17:37:29 | WARNING  | transformer.api_football | Team 'Nottingham' has None values for: ['founded_year']
2026-04-09 17:37:29 | INFO     | transformer.api_football | API-Football transformer: 20/20 records transformed successfully
2026-04-09 17:37:29 | INFO     | loader.sqlite | Loaded 20 records into 'standings_api_football'
2026-04-09 17:37:29 | INFO     | loader.sqlite | Exported 20 rows to 'C:\Users\magshimim\premier-league-etl\src\..\output\standings_api_football.csv'
2026-04-09 17:38:17 | INFO     | api | GET /standings/api-sports → 20 records
2026-04-09 17:38:17 | INFO     | api | GET /standings/api-football → 20 records
2026-04-09 17:38:17 | INFO     | api | GET /standings/api-sports/arsenal → 1 records
2026-04-09 17:39:12 | INFO     | main | === Premier League ETL Pipeline started ===
2026-04-09 17:39:12 | INFO     | main | --- Source: API-Sports ---
2026-04-09 17:39:12 | INFO     | extractor.api_sports | Fetching standings: league=39, season=2023
2026-04-09 17:39:12 | DEBUG    | extractor.api_sports | GET https://v3.football.api-sports.io/standings params={'league': 39, 'season': 2023} (attempt 1)
2026-04-09 17:39:12 | INFO     | extractor.api_sports | Fetching teams: league=39, season=2023
2026-04-09 17:39:12 | DEBUG    | extractor.api_sports | GET https://v3.football.api-sports.io/teams params={'league': 39, 'season': 2023} (attempt 1)
2026-04-09 17:39:13 | INFO     | extractor.api_sports | API-Sports: fetched 20 standings, 20 teams
2026-04-09 17:39:13 | INFO     | transformer.api_sports | API-Sports transformer: 20/20 records transformed successfully
2026-04-09 17:39:13 | INFO     | loader.sqlite | Loaded 20 records into 'standings_api_sports'
2026-04-09 17:39:13 | INFO     | loader.sqlite | Exported 20 rows to 'C:\Users\magshimim\premier-league-etl\src\..\output\standings_api_sports.csv'
2026-04-09 17:39:13 | INFO     | main | --- Source: API-Football ---
2026-04-09 17:39:13 | INFO     | extractor.api_football | Fetching standings: league_id=152
2026-04-09 17:39:13 | DEBUG    | extractor.api_football | GET https://apiv3.apifootball.com/ params={'action': 'get_standings', 'league_id': 152, 'APIkey': 'dca75ce66afc50267304596d8411fe1fddf3186a379701f06a08fa0587f722af'} (attempt 1)
2026-04-09 17:39:13 | INFO     | extractor.api_football | Received 20 standing records
2026-04-09 17:39:13 | INFO     | extractor.api_football | Fetching teams: league_id=152
2026-04-09 17:39:13 | DEBUG    | extractor.api_football | GET https://apiv3.apifootball.com/ params={'action': 'get_teams', 'league_id': 152, 'APIkey': 'dca75ce66afc50267304596d8411fe1fddf3186a379701f06a08fa0587f722af'} (attempt 1)
2026-04-09 17:39:14 | INFO     | extractor.api_football | Received 20 team records
2026-04-09 17:39:14 | INFO     | extractor.api_football | API-Football: fetched 20 standings, 20 teams
2026-04-09 17:39:14 | WARNING  | transformer.api_football | Could not convert 'founded_year' value '' to int
2026-04-09 17:39:14 | WARNING  | transformer.api_football | Team 'Nottingham' has None values for: ['founded_year']
2026-04-09 17:39:14 | INFO     | transformer.api_football | API-Football transformer: 20/20 records transformed successfully
2026-04-09 17:39:14 | INFO     | loader.sqlite | Loaded 20 records into 'standings_api_football'
2026-04-09 17:39:14 | INFO     | loader.sqlite | Exported 20 rows to 'C:\Users\magshimim\premier-league-etl\src\..\output\standings_api_football.csv'
2026-04-09 17:39:14 | INFO     | main | === ETL Pipeline complete ===
2026-04-09 17:40:19 | INFO     | main | === Premier League ETL Pipeline started ===
2026-04-09 17:40:19 | INFO     | main | --- Source: API-Sports ---
2026-04-09 17:40:19 | INFO     | extractor.api_sports | Fetching standings: league=39, season=2023
